betId,date,gameId,game,ticker,eventTicker,marketFamily,market,period,side,line,subjectType,subjectName,source,entryTimestamp,modelVersion,joinMethod,entryPricePct,entryAmerican,entryBidPct,entryAskPct,entryMidPct,closingAskPct,closingMidPct,closingAmerican,closingTimestamp,clvAskPct,clvMidPct,clvCaptureStatus,closingLineUnavailableReason,modelProbPct,marketImpliedPctAtEntry,projectedEdgePct,expectedProfitPerDollar,confidenceTier,recommendationStatus,modelSupportStatus,stake,result,grossReturn,netProfit,roiPct,lineupConfirmationStatus,awayPitcher,homePitcher,bullpenState,park,weather,umpire,favoriteOrUnderdog,horizon,manualAnalysisNotes,reasonCodes,exactContractMetadata,dataQualityStatus,dataQualityFlags,trackingType,countsTowardBankroll,hypotheticalStake,hypotheticalNetProfit,hypotheticalRoiPct,realMoneyBlockReasons
2026-05-26-001,2026-05-26,,ATL @ BOS,,,game_total,Total,full_game,,,,,,2026-05-26T06:00:00Z,,legacy_fallback,50.739,-103,,,,,,,2026-05-26T06:00:00Z,,,,,62.0,,3.4,,High,LOSS,SUPPORTED,8.0,LOSS,0.0,-8.0,-100.0,,,,,,,,,full_game,Final 13 runs — blowout,,"{""betBook"": null, ""scheduledStartTime"": null, ""seriesTicker"": null}",DEGRADED,"[""NO_EXACT_OR_GAME_IDENTITY""]",REAL,True,,,,[]
2026-05-26-002,2026-05-26,,STL @ MIL,,,game_total,Total,full_game,,,,,,2026-05-26T06:00:00Z,,legacy_fallback,51.923,-108,,,,,,,2026-05-26T06:00:00Z,,,,,62.0,,3.1,,High,WIN,SUPPORTED,8.0,WIN,15.41,7.41,92.625,,,,,,,,,full_game,Final 6 runs,,"{""betBook"": null, ""scheduledStartTime"": null, ""seriesTicker"": null}",DEGRADED,"[""NO_EXACT_OR_GAME_IDENTITY""]",REAL,True,,,,[]
2026-05-26-003,2026-05-26,,MIN @ CWS,,,inning_result,F5 ML,F5,,,,,,,,legacy_fallback,54.545,-120,,,,,,,,,,,,63.0,,2.6,,Medium,WIN,SUPPORTED,5.0,WIN,9.17,4.17,83.4,,,,,,,,,F5,MIN won 5-3,,"{""betBook"": null, ""scheduledStartTime"": null, ""seriesTicker"": null}",DEGRADED,"[""NO_EXACT_OR_GAME_IDENTITY""]",REAL,True,,,,[]
2026-05-26-004,2026-05-26,,MIN @ CWS,,,game_result,ML,full_game,,,,,,2026-05-26T06:00:00Z,,legacy_fallback,52.607,-111,,,,,,,2026-05-26T06:00:00Z,,,,,60.0,,2.5,,Medium,WIN,SUPPORTED,5.0,WIN,9.5,4.5,90.0,,,,,,,,,full_game,MIN won 5-3,,"{""betBook"": null, ""scheduledStartTime"": null, ""seriesTicker"": null}",DEGRADED,"[""NO_EXACT_OR_GAME_IDENTITY""]",REAL,True,,,,[]
2026-05-26-005,2026-05-26,,AZ @ SF,,,game_result,ML,full_game,,,,,,2026-05-26T06:00:00Z,,legacy_fallback,49.261,103,,,,,,,2026-05-26T06:00:00Z,,,,,57.0,,2.3,,Medium,WIN,SUPPORTED,5.0,WIN,10.15,5.15,103.0,,,,,,,,,full_game,AZ won 7-5,,"{""betBook"": null, ""scheduledStartTime"": null, ""seriesTicker"": null}",DEGRADED,"[""NO_EXACT_OR_GAME_IDENTITY""]",REAL,True,,,,[]
2026-05-26-006,2026-05-26,,AZ @ SF,,,game_total,Total,full_game,,,,,,2026-05-26T06:00:00Z,,legacy_fallback,52.381,-110,,,,,,,2026-05-26T06:00:00Z,,,,,60.0,,2.3,,Medium,WIN,SUPPORTED,5.0,WIN,9.55,4.55,91.0,,,,,,,,,full_game,Final 12 runs,,"{""betBook"": null, ""scheduledStartTime"": null, ""seriesTicker"": null}",DEGRADED,"[""NO_EXACT_OR_GAME_IDENTITY""]",REAL,True,,,,[]
2026-05-26-007,2026-05-26,,COL @ LAD,,,winning_margin,Run Line,full_game,,,,,,2026-05-26T06:00:00Z,,legacy_fallback,56.522,-130,,,,,,,2026-05-26T06:00:00Z,,,,,64.0,,2.3,,Medium,WIN,SUPPORTED,4.0,WIN,7.08,3.08,77.0,,,,,,,,,full_game,LAD won 15-5,,"{""betBook"": null, ""scheduledStartTime"": null, ""seriesTicker"": null}",DEGRADED,"[""NO_EXACT_OR_GAME_IDENTITY""]",REAL,True,,,,[]
2026-05-26-008,2026-05-26,,COL @ LAD,,,game_total,Total,full_game,,,,,,2026-05-26T06:00:00Z,,legacy_fallback,52.153,-109,,,,,,,2026-05-26T06:00:00Z,,,,,60.0,,2.4,,Medium,WIN,SUPPORTED,5.0,WIN,9.59,4.59,91.8,,,,,,,,,full_game,Final 20 runs,,"{""betBook"": null, ""scheduledStartTime"": null, ""seriesTicker"": null}",DEGRADED,"[""NO_EXACT_OR_GAME_IDENTITY""]",REAL,True,,,,[]
2026-05-26-009,2026-05-26,,ATL @ BOS,,,inning_result,F5 ML,F5,,,,,,,,legacy_fallback,51.923,-108,,,,,,,,,,,,60.0,,2.5,,Medium,WIN,SUPPORTED,5.0,WIN,9.63,4.63,92.6,,,,,,,,,F5,"ATL won 7-6 — F5 assumed WIN, verify",,"{""betBook"": null, ""scheduledStartTime"": null, ""seriesTicker"": null}",DEGRADED,"[""NO_EXACT_OR_GAME_IDENTITY""]",REAL,True,,,,[]
2026-05-26-010,2026-05-26,,NYY @ KC,,,winning_margin,Run Line,full_game,,,,,,2026-05-26T06:00:00Z,,legacy_fallback,49.505,102,,,,,,,2026-05-26T06:00:00Z,,,,,56.0,,1.9,,Medium,WIN,SUPPORTED,4.0,WIN,8.08,4.08,102.0,,,,,,,,,full_game,NYY won 15-1,,"{""betBook"": null, ""scheduledStartTime"": null, ""seriesTicker"": null}",DEGRADED,"[""NO_EXACT_OR_GAME_IDENTITY""]",REAL,True,,,,[]
2026-05-26-011,2026-05-26,,STL @ MIL,,,game_result,ML,full_game,,,,,,2026-05-26T06:00:00Z,,legacy_fallback,66.887,-202,,,,,,,2026-05-26T06:00:00Z,,,,,72.0,,2.0,,Medium,WIN,SUPPORTED,4.0,WIN,5.98,1.98,49.5,,,,,,,,,full_game,MIL won 6-0,,"{""betBook"": null, ""scheduledStartTime"": null, ""seriesTicker"": null}",DEGRADED,"[""NO_EXACT_OR_GAME_IDENTITY""]",REAL,True,,,,[]
2026-05-26-012,2026-05-26,,NYY @ KC,,,game_total,Total,full_game,,,,,,2026-05-26T06:00:00Z,,legacy_fallback,49.505,102,,,,,,,2026-05-26T06:00:00Z,,,,,55.0,,1.7,,Paper,LOSS,SUPPORTED,3.0,LOSS,0.0,-3.0,-100.0,,,,,,,,,full_game,Final 16 runs — NYY blowout,,"{""betBook"": null, ""scheduledStartTime"": null, ""seriesTicker"": null}",DEGRADED,"[""NO_EXACT_OR_GAME_IDENTITY""]",REAL,True,,,,[]
2026-05-26-013,2026-05-26,,TB @ BAL,,,game_result,ML,full_game,,,,,,2026-05-26T06:00:00Z,,legacy_fallback,51.22,-105,,,,,,,2026-05-26T06:00:00Z,,,,,57.0,,2.0,,Medium,LOSS,SUPPORTED,4.0,LOSS,0.0,-4.0,-100.0,,,,,,,,,full_game,TB lost 1-6,,"{""betBook"": null, ""scheduledStartTime"": null, ""seriesTicker"": null}",DEGRADED,"[""NO_EXACT_OR_GAME_IDENTITY""]",REAL,True,,,,[]
2026-05-26-014,2026-05-26,,CIN @ NYM,,,inning_result,F5 ML,F5,,,,,,,,legacy_fallback,56.522,-130,,,,,,,,,,,,64.0,,2.3,,Medium,WIN,SUPPORTED,4.0,WIN,7.08,3.08,77.0,,,,,,,,,F5,CIN won 7-2,,"{""betBook"": null, ""scheduledStartTime"": null, ""seriesTicker"": null}",DEGRADED,"[""NO_EXACT_OR_GAME_IDENTITY""]",REAL,True,,,,[]
